,file,split,fluid_height
0,train/138.2/image_resized_14301_png.rf.636aa3b58db779c1e91ea0ce664c5cea.jpg,train,138.2
1,train/138.2/image_resized_19925_png.rf.1d7911f98d2c00bf3694f309755627e2.jpg,train,138.2
2,train/138.2/image_resized_14169_png.rf.4f2cda7c2f59aab4e994c5fbb5608623.jpg,train,138.2
3,train/138.2/image_resized_18866_png.rf.154fbafc358cd88a8493197e70abe30a.jpg,train,138.2
4,train/138.2/image_resized_16228_png.rf.981eda7a5a1bf79eb3416fcb2defbf0f.jpg,train,138.2
5,train/138.2/image_resized_18866_png.rf.eed00d1991c0963c326f8baba46cc16e.jpg,train,138.2
6,train/138.2/image_resized_14033_png.rf.66ee5cf6ce6e0341d8d117d83993caed.jpg,train,138.2
7,train/138.2/image_resized_988_png.rf.18736d28c13f7905bf05336eef0cc12f.jpg,train,138.2
8,train/138.2/image_resized_16227_png.rf.74aacd7362162a3c65d274a359dcb058.jpg,train,138.2
9,train/138.2/image_resized_19926_png.rf.f9a8b1cd8a08a575250713028d753fc0.jpg,train,138.2
10,train/138.2/image_resized_4646_png.rf.25b1e46db87163c0334cd8145248005c.jpg,train,138.2
11,train/138.2/image_resized_14033_png.rf.2e311eaed8d61d33654101d7250f8df7.jpg,train,138.2
12,train/138.2/image_resized_988_png.rf.a71dea09a1775636949289de8479d2a6.jpg,train,138.2
13,train/138.2/image_resized_19926_png.rf.7c12e4b85c5aaffc3b867f9efe74a726.jpg,train,138.2
14,train/138.2/image_resized_16227_png.rf.31fa551ea638d5f15a53f49c08b49513.jpg,train,138.2
15,train/138.2/image_resized_19926_png.rf.c1474e4395dcce1fad1b788a17ffec18.jpg,train,138.2
16,train/138.2/image_resized_16228_png.rf.cd675126ea5d81eac3daf3109973d612.jpg,train,138.2
17,train/138.2/image_resized_19925_png.rf.0b392b7e26130c63320fdf4ad2cff53f.jpg,train,138.2
18,train/138.2/image_resized_14169_png.rf.4193522dbc652dd48b2b8fcc50b07820.jpg,train,138.2
19,train/138.2/image_resized_14301_png.rf.37995053acb82a204f16e7033ceb85dc.jpg,train,138.2
20,train/138.2/image_resized_16227_png.rf.217f7bd5d93bbe46bc132dfc69ab4cc2.jpg,train,138.2
21,train/138.2/image_resized_14169_png.rf.f24be9985fdef7befdee54bd46e5b27c.jpg,train,138.2
22,train/138.2/image_resized_16228_png.rf.1cfb4809d64482e906c3434a13ab8838.jpg,train,138.2
23,train/138.2/image_resized_14033_png.rf.f9383d04d317bd0a51b6f2daf13b3fc6.jpg,train,138.2
24,train/138.2/image_resized_4646_png.rf.c6ecf40d1e6ab32fb7d475641a3dde68.jpg,train,138.2
25,train/138.2/image_resized_14301_png.rf.5218effa75fb4fb3589e768d7febdcc6.jpg,train,138.2
26,train/138.2/image_resized_18866_png.rf.e06aa1c2cc918283805436dd92c991e9.jpg,train,138.2
27,train/138.2/image_resized_988_png.rf.b4e4cc8977c400da6d43f2f56672bccb.jpg,train,138.2
28,train/138.2/image_resized_4646_png.rf.3621372807cbb3c83849120cc067eecb.jpg,train,138.2
29,train/138.2/image_resized_19925_png.rf.e46430505b86723265f149171387a84e.jpg,train,138.2
30,train/120.3/image_resized_13502_png.rf.ffea3f23f65e70e5faf93c1ad0ac05dc.jpg,train,120.3
31,train/120.3/image_resized_13882_png.rf.f62496420d3aeca294d05946bb50fddb.jpg,train,120.3
32,train/120.3/image_resized_12789_png.rf.fa088755239739a010f5671c36818a32.jpg,train,120.3
33,train/120.3/image_resized_13502_png.rf.25b2e6c641fe58a74f4fd92415b2d451.jpg,train,120.3
34,train/120.3/image_resized_20619_png.rf.976f242c7203cad51a64cdddab9d35eb.jpg,train,120.3
35,train/120.3/image_resized_20619_png.rf.86a88ccdc7a35dfdfd066945e87eb9b2.jpg,train,120.3
36,train/120.3/image_resized_12789_png.rf.07cf6f82e62605f4d1a9165a39583360.jpg,train,120.3
